,Rank (Borda),Model,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Public),Mean (Private),Mean (Task)
148,149,[st-polish-kartonberta-base-alpha-v1](https://huggingface.co/OrlikB/st-polish-kartonberta-base-alpha-v1),Unknown,Unknown,768,514,,,
149,150,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),66,17M,384,512,,,
150,151,[pubmedbert-base-embeddings-8M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-8M),30,7M,256,Infinite,,,
151,152,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),Unknown,Unknown,1024,512,,,
152,153,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),66,17M,384,512,,,
153,154,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),60,15M,384,512,,,
154,155,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),60,15M,384,512,,,
155,156,[udever-bloom-7b1](https://huggingface.co/izhx/udever-bloom-7b1),Unknown,Unknown,Unknown,Unknown,,,
156,157,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),492,129M,768,512,,,
157,158,[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1),Unknown,Unknown,Unknown,Unknown,,,
158,159,[pubmedbert-base-embeddings-2M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-2M),7,1M,64,Infinite,,,
159,160,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),1281,335M,1024,512,,,
160,161,[pubmedbert-base-embeddings-1M](https://huggingface.co/NeuML/pubmedbert-base-embeddings-1M),2,1M,64,Infinite,,,
161,162,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),27126,7B,4096,32768,,,
162,163,[pubmedbert-base-embeddings-500K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-500K),2,500K,64,Infinite,,,
163,164,[USER-base](https://huggingface.co/deepvk/USER-base),473,427M,768,512,,,
164,165,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),13563,7B,Unknown,32768,,,
165,166,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),111,29M,312,2048,,,
166,167,[udever-bloom-3b](https://huggingface.co/izhx/udever-bloom-3b),Unknown,Unknown,Unknown,Unknown,,,
167,168,[pubmedbert-base-embeddings-100K](https://huggingface.co/NeuML/pubmedbert-base-embeddings-100K),Unknown,100K,64,Infinite,,,
