,Rank (Borda),Model,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Public),Mean (Private),Mean (Task)
19,20,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),13563,7B,4096,32768,49.09,83.15,57.6
20,21,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),Unknown,Unknown,1024,512,53.85,60.05,55.4
21,22,[bge-m3](https://huggingface.co/BAAI/bge-m3),2167,568M,1024,8194,50.55,69.09,55.18
22,23,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),418,109M,768,384,50.96,56.36,52.31
23,24,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),1242,335M,1024,512,49.16,56.98,51.11
24,25,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),449,118M,384,512,45.13,70.01,51.35
25,26,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),2167,568M,1024,8192,47.79,67.14,52.62
26,27,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),390,109M,768,512,49.28,57.58,51.36
27,28,[english_code_retriever](https://huggingface.co/fyaronskiy/english_code_retriever),568,149M,768,8192,48.43,60.98,51.56
28,29,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),127,33M,384,256,48.17,58.59,50.78
29,30,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),1278,335M,1024,512,46.94,56.28,49.27
30,31,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),Unknown,137M,768,8192,47.6,50.96,48.44
31,32,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),1242,335M,1024,512,44.08,56.18,47.11
32,33,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),87,22M,384,256,45.21,53.18,47.21
33,34,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),639,335M,1024,512,45.47,53.49,47.48
34,35,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),127,33M,512,512,44.44,54.94,47.06
35,36,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),2166,568M,1024,8192,,75.95,
36,37,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),390,109M,768,512,43.15,55.77,46.3
37,38,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),87,22M,384,512,43.21,47.24,44.22
38,39,[bm25s](https://github.com/xhluca/bm25s),Unknown,Unknown,Unknown,Unknown,29.4,39.3,31.87
39,40,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),262,137M,768,8192,44.28,53.78,46.66
40,41,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),416,109M,768,512,37.7,38.17,37.82
41,42,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),1278,335M,1024,512,34.94,43.79,37.15
42,43,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),1061,278M,768,512,32.88,45.48,36.03
43,44,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),62,32M,512,8192,40.34,47.24,42.06
44,45,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),1796,471M,768,512,28.67,37.31,30.83
45,46,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),449,118M,768,512,30.23,38.96,32.41
46,47,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),489,128M,256,Infinite,20.62,26.21,22.02
47,48,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),29,7M,256,Infinite,21.77,24.75,22.52
48,49,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),413,108M,1024,Unknown,19.1,33.77,22.77
49,50,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),14,3M,128,Infinite,19.46,20.65,19.76
50,50,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),91,33M,512,512,28.69,26.8,28.22
51,52,[mdbr-leaf-ir](https://huggingface.co/MongoDB/mdbr-leaf-ir),86,22M,768,512,44.11,,
52,53,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),449,117M,384,256,21.63,23.99,22.22
53,54,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),7,2M,64,Infinite,16.19,14.56,15.78
54,55,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),391,103M,256,Infinite,15.71,17.07,16.05
55,56,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),29,7M,256,Infinite,15.52,16.75,15.83
56,57,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),391,102M,256,Infinite,13.53,13.87,13.62
57,58,[mdbr-leaf-mt](https://huggingface.co/MongoDB/mdbr-leaf-mt),86,22M,1024,512,36.45,,
58,59,[text2vec-base-chinese](https://huggingface.co/shibing624/text2vec-base-chinese),390,102M,768,512,14.45,13.4,14.19
59,60,[M2V_multilingual_output](https://huggingface.co/minishlab/M2V_multilingual_output),489,128M,256,Infinite,9.68,10.49,9.88
60,61,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),1165,305M,768,8192,,75.53,
61,62,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),2136,560M,1024,514,,,
62,63,[voyage-code-3](https://blog.voyageai.com/2024/12/04/voyage-code-3/),Unknown,Unknown,1024,32000,,,
63,64,[Qwen3-Embedding-4B](https://huggingface.co/Qwen/Qwen3-Embedding-4B),15341,4B,2560,32768,,,
64,65,[embeddinggemma-300m](https://ai.google.dev/gemma/docs/embeddinggemma/model_card),578,307M,768,2048,,,
65,66,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),2272,595M,1024,32768,,,
66,67,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),Unknown,Unknown,1024,32000,,,
67,68,[Qodo-Embed-1-7B](https://huggingface.co/Qodo/Qodo-Embed-1-7B),29040,7B,3584,32768,,,
68,69,[gte-modernbert-base](https://huggingface.co/Alibaba-NLP/gte-modernbert-base),284,149M,768,8192,,,
69,70,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),13483,7B,3584,32768,,,
70,71,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),1885,494M,896,512,,,
71,72,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),1885,494M,896,512,,,
72,73,[Qodo-Embed-1-1.5B](https://huggingface.co/Qodo/Qodo-Embed-1-1.5B),6776,1B,1536,32768,,,
73,74,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),2944,1B,1536,32768,,,
74,75,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),2136,559M,1024,514,,,
