,Rank (Borda),Model,Memory Usage (MB),Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Public),Mean (Private),Mean (Task)
91,92,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),127,33M,384,512,37.24,,
92,93,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),1061,278M,768,514,36.04,,
93,94,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),522,Unknown,768,8192,35.95,,
94,95,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),29,7M,256,Infinite,30.69,8.44,25.12
95,96,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),13563,7B,Unknown,32768,35.13,,
96,96,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),1796,471M,768,512,29.42,53.62,35.47
97,98,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),1061,278M,768,514,36.23,,
98,99,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),Unknown,Unknown,Unknown,4096,37.03,,
99,99,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),489,128M,256,Infinite,29.02,45.0,33.01
100,101,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),1061,278M,768,514,35.6,,
101,101,[mdbr-leaf-mt](https://huggingface.co/MongoDB/mdbr-leaf-mt),86,22M,1024,512,35.5,,
102,103,[e5-large](https://huggingface.co/intfloat/e5-large),1278,335M,1024,512,35.9,,
103,104,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),522,137M,768,2048,36.09,,
104,105,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),530,278M,768,512,34.97,,
105,106,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),86,22M,384,512,35.29,,
106,107,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),1278,335M,1024,514,36.13,,
107,108,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),66,17M,384,512,35.09,,
108,109,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),2441,1B,2048,2048,35.79,,
109,110,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),Unknown,Unknown,Unknown,512,35.24,,
110,111,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),2136,559M,1024,514,35.59,,
111,111,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),73,19M,384,512,34.96,,
112,113,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),62,32M,512,8192,27.81,8.01,22.86
113,114,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),1278,335M,1024,512,27.18,72.11,38.41
114,115,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),14,3M,128,Infinite,28.8,8.1,23.62
115,116,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),416,109M,768,512,25.7,74.44,37.89
116,117,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),418,109M,768,512,35.16,,
117,118,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),449,117M,384,512,34.59,,
118,119,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),134,35M,512,512,34.3,,
119,120,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),127,33M,384,512,34.81,,
120,121,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),127,33M,384,512,33.86,,
121,121,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),391,103M,256,Infinite,27.18,8.6,22.54
122,123,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),391,102M,256,Infinite,28.05,0.1,21.06
123,124,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),91,33M,512,512,21.77,64.06,32.34
124,124,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),449,117M,384,256,24.68,43.26,29.32
125,126,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),29,7M,256,Infinite,27.16,8.3,22.44
126,126,[M2V_multilingual_output](https://huggingface.co/minishlab/M2V_multilingual_output),489,128M,256,Infinite,25.48,22.65,24.77
127,128,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),1659,434M,1024,514,33.83,,
128,129,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),1061,Unknown,768,514,34.36,,
129,130,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),7,2M,64,Infinite,25.47,6.85,20.81
130,131,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),475,124M,768,514,33.21,,
131,132,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),87,22M,384,512,33.08,,
132,133,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),204,107M,384,512,32.71,,
133,134,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),522,137M,768,8192,32.37,,
134,135,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),66,17M,384,512,32.42,,
135,136,[e5-small](https://huggingface.co/intfloat/e5-small),127,33M,384,512,32.5,,
136,137,[text2vec-base-chinese](https://huggingface.co/shibing624/text2vec-base-chinese),390,102M,768,512,17.44,56.12,27.11
137,138,[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco),Unknown,Unknown,4096,Unknown,27.96,,
138,138,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),27126,7B,4096,32768,27.9,,
139,140,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),2136,559M,1024,514,31.91,,
140,141,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),58,30M,384,512,32.44,,
